	Kingdom	Phylum	Class	Order	Family	Genus	Species	Annotated
ASV86	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		Pseudomonas
ASV87	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Orbaceae	Gilliamella	intestini	Gilliamella
ASV88	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast	Order_Chloroplast	Order_Chloroplast
ASV89	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria	Family_Mitochondria	Family_Mitochondria
ASV90	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus		Streptococcus
ASV91	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	Order_0319-6G20	Order_0319-6G20	Order_0319-6G20	Order_0319-6G20
ASV92	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Orbaceae	Frischella		Frischella
ASV93	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter		Acinetobacter
ASV94	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		Pseudomonas
ASV95	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus		Staphylococcus
ASV96	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast	Order_Chloroplast	Order_Chloroplast
ASV97	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Bombilactobacillus		Bombilactobacillus Firm4
ASV98	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Family_Comamonadaceae	Family_Comamonadaceae	Family_Comamonadaceae
ASV99	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Family_Acetobacteraceae	Family_Acetobacteraceae	Family_Acetobacteraceae
ASV100	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria	Family_Mitochondria	Family_Mitochondria
ASV101	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Orbaceae	Candidatus Schmidhempelia		Candidatus Schmidhempelia
ASV102	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermacoccaceae	Kytococcus		Kytococcus
ASV103	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc		Leuconostoc
